epoch,acc,loss,val_acc,val_loss
0,0.1692564909168344,2.902946125326149,0.3412530051862784,2.7813929634137398
1,0.40804484664784185,2.566893540809325,0.46174515622152057,2.423304604465731
2,0.5970692366807129,2.0865872292702448,0.6157544900952564,2.0112537238675756
3,0.6913847365218012,1.6346533502958405,0.6461603732800959,1.6807931503300755
4,0.7472462626914168,1.2832306961109092,0.6699193889611581,1.464454858664862
5,0.7876671910473533,1.0436631043439395,0.6878800734470866,1.3218470700575125
6,0.8111723052714398,0.8774256922427732,0.6897185687094257,1.2469358869563942
7,0.8301534225488628,0.7517108469849774,0.6967897043253775,1.1921040450240308
8,0.8489378441233602,0.650600091291168,0.7006081176889851,1.1572469110165875
9,0.8626081824865424,0.5805582125106259,0.7031537265137624,1.13999625858804
10,0.8719512194652993,0.5239184638067647,0.7017394993888861,1.1311618270319028
11,0.8835562550111796,0.47709145834838,0.7041436855011758,1.126513609773552
12,0.8979150276780598,0.42955611410523664,0.7051336443621474,1.1265891125053484
13,0.902635719952482,0.3986333285045849,0.7045679536386387,1.125763565213386
