epoch,acc,loss,val_acc,val_loss
0,0.23878835569583554,2.832593681116352,0.39202375896933594,2.6400397262551665
1,0.5697285601888277,2.268780751926143,0.5830858436454861,2.1096094001251573
2,0.736821400565861,1.6158013288473914,0.6539386224584859,1.6695908848356955
3,0.8061565695833166,1.142823533407822,0.678121906428741,1.4051112782211692
4,0.849527930622491,0.8450097920480063,0.6847687739156595,1.2743196032236428
5,0.8733280879789033,0.6591486204430215,0.6966482816297488,1.1944675967171041
6,0.8940794649413024,0.5295892676249159,0.6936784047939504,1.1598093288148112
7,0.9120771046420142,0.44174992564529253,0.6997595814224888,1.1370335029773473
8,0.9273210071279344,0.36580219126235397,0.7028708810972166,1.1273994772610578
9,0.9408929974989663,0.307318327442855,0.7010323857084357,1.1350473484145316
10,0.9504327302275447,0.26240084384202395,0.6994767358710718,1.1401499000419706
