epoch,acc,loss,val_acc,val_loss
0,0.3772619983560921,2.7652406399874683,0.4980907933224109,2.520570367755925
1,0.7157749804711361,2.0891006013523583,0.5850657616203129,2.0151231278120214
2,0.8206136900547637,1.4488203347338924,0.6542214678834611,1.6183445917937935
3,0.8736231312519167,0.998166094653537,0.6850516192057635,1.3830335239358609
4,0.9029307631785995,0.7187632268381157,0.6939612500924839,1.2598847763455077
5,0.9275177026901725,0.541533389258441,0.7003252721544271,1.1891841924674371
6,0.9454169943987338,0.41767061685221485,0.7056993352205273,1.1521369025454697
7,0.9586939418250233,0.3286801924347221,0.7044265308081388,1.1360406045646652
8,0.968233674131539,0.2622073605293181,0.7028708809707749,1.1275479005563547
9,0.9774783634933124,0.21271585679541977,0.7025880355457996,1.126195141928922
10,0.9832808811959087,0.17513226358370929,0.7017394992708739,1.1342664393453445
11,0.987509834822663,0.14562929509006833,0.7008909631223899,1.1436947939706446
